algorithm,size,kind,time_mean,time_std
bubble_sort,100,random,0.0012684850001581556,6.602021228696165e-05
insertion_sort,100,random,0.0007584383333778533,5.411141491732683e-05
merge_sort,100,random,0.0006257769999441128,4.431763305097283e-05
quick_sort,100,random,0.0004957090000061726,3.0375624183533198e-05
heap_sort,100,random,0.00037792200009789667,2.4818632705763628e-05
bubble_sort,100,sorted,0.0003275696665999324,1.2964855778684341e-05
insertion_sort,100,sorted,0.0003446486666689452,3.468166619513346e-05
merge_sort,100,sorted,0.0006092249999104146,7.879921225914005e-05
quick_sort,100,sorted,0.0004284646667353324,3.4538486148791484e-05
heap_sort,100,sorted,0.00036515700003292295,3.4029762959550066e-05
bubble_sort,100,reversed,0.0015622373331704391,0.00018992052357060383
insertion_sort,100,reversed,0.0012357796666340921,9.469353051524581e-05
merge_sort,100,reversed,0.0005912579999858281,2.7929494623742832e-05
quick_sort,100,reversed,0.00041504533343565225,3.5701624491562136e-05
heap_sort,100,reversed,0.00035847199994047213,1.961509030726048e-05
bubble_sort,100,almost_sorted,0.0009094219999497,2.1507935894389624e-05
insertion_sort,100,almost_sorted,0.0005820256668206033,0.00010659186217562382
merge_sort,100,almost_sorted,0.0005796046666546317,3.279499498313778e-05
quick_sort,100,almost_sorted,0.00041937233345379354,1.669873286900561e-05
heap_sort,100,almost_sorted,0.0003735946667499472,1.3384267597980385e-05
bubble_sort,1000,random,0.12729319266691164,0.002358243923541625
insertion_sort,1000,random,0.057455729999977244,0.0006886964922095779
merge_sort,1000,random,0.0069214389999009045,6.171666363579061e-05
quick_sort,1000,random,0.005602675666674865,2.0013689935989995e-05
heap_sort,1000,random,0.003842614999939542,4.4385624645601156e-05
bubble_sort,1000,sorted,0.0031304513334665294,0.00017559396020319426
insertion_sort,1000,sorted,0.0032350629999200464,2.7456180757745034e-05
merge_sort,1000,sorted,0.005564514333248856,6.070896644468019e-05
quick_sort,1000,sorted,0.004226958333371537,5.475230861039882e-05
heap_sort,1000,sorted,0.003506765000111045,5.096259342847789e-05
bubble_sort,1000,reversed,0.16197280500015646,0.004379365473364283
insertion_sort,1000,reversed,0.1047743656666474,0.00015899054734859252
merge_sort,1000,reversed,0.0056223319998025545,3.888726152876878e-05
quick_sort,1000,reversed,0.0043832536665225534,4.9229222352020414e-05
heap_sort,1000,reversed,0.0035700716666724475,2.3226823276682952e-05
bubble_sort,1000,almost_sorted,0.08168331933317556,0.00029808316555706755
insertion_sort,1000,almost_sorted,0.010536884333305352,4.1486275923272934e-05
merge_sort,1000,almost_sorted,0.006382526333406228,5.4544093865432555e-05
quick_sort,1000,almost_sorted,0.004496395666895599,6.930960826930818e-05
heap_sort,1000,almost_sorted,0.0037288483335942146,5.920241519257076e-05
bubble_sort,5000,random,2.493371672666702,1.0376453426164451
insertion_sort,5000,random,0.44083813133344546,0.004435258589806451
merge_sort,5000,random,0.012220282999957513,0.00026371480251559116
quick_sort,5000,random,0.009687655666615077,0.00019953710721499514
heap_sort,5000,random,0.006498155666880241,4.98630980498701e-05
bubble_sort,5000,sorted,0.004838517666788296,5.663413520112332e-05
insertion_sort,5000,sorted,0.005026005333244636,0.00010860448406753719
merge_sort,5000,sorted,0.009099704333493719,0.00013142905119226838
quick_sort,5000,sorted,0.007131610999901265,0.0001716766421716683
heap_sort,5000,sorted,0.005598581333288166,0.00022769597681401147
bubble_sort,5000,reversed,1.309403102000033,0.01898815650885012
insertion_sort,5000,reversed,0.867685589666659,0.008112038035256985
merge_sort,5000,reversed,0.009596823333292074,0.0003966315606837439
quick_sort,5000,reversed,0.007271599333156094,0.00010014643835296136
heap_sort,5000,reversed,0.005593997666589227,0.00011218379802801064
bubble_sort,5000,almost_sorted,0.7016046243332615,0.0037381798658323935
insertion_sort,5000,almost_sorted,0.06123058266666703,0.0016691504463578876
merge_sort,5000,almost_sorted,0.011094905333417652,7.155064192905621e-05
quick_sort,5000,almost_sorted,0.007659536999957102,0.0001026303841050212
heap_sort,5000,almost_sorted,0.005867975000152607,0.00011726953665894342
bubble_sort,10000,random,4.133459610666857,0.03555757674454243
insertion_sort,10000,random,1.8220307480000884,0.027598006452003394
merge_sort,10000,random,0.02565313666673319,0.0007356024755912343
quick_sort,10000,random,0.020004008666698308,0.0005876454970905825
heap_sort,10000,random,0.013297016333429687,0.00016821050837277963
bubble_sort,10000,sorted,0.01009759733339403,0.0004294780158246922
insertion_sort,10000,sorted,0.01031455166670033,0.0004466143803637886
merge_sort,10000,sorted,0.01888210766674092,0.00022225927968611963
quick_sort,10000,sorted,0.014862014000148823,0.00014609689045988074
heap_sort,10000,sorted,0.011250537333277558,0.00011915830587337619
bubble_sort,10000,reversed,5.306138296333454,0.021862492559135048
insertion_sort,10000,reversed,3.5906755360001625,0.023465456462109548
merge_sort,10000,reversed,0.019305290666579822,0.0005314164696891367
quick_sort,10000,reversed,0.015006563333372469,0.00018969856164134622
heap_sort,10000,reversed,0.011362648666818131,0.00019984367159228737
bubble_sort,10000,almost_sorted,2.900652498999989,0.038151649146130104
insertion_sort,10000,almost_sorted,0.23465460233334548,0.005872588955576398
merge_sort,10000,almost_sorted,0.023281120000016624,0.0006285391110562698
quick_sort,10000,almost_sorted,0.015621374999985468,0.00016352041665374404
heap_sort,10000,almost_sorted,0.012235396666710585,0.0002470953731656804
